site,month,month,date,time_start,time_end,dolphins_best,calves_best,every20mins,echo,bp,whistle,total,noise,fish calls,distance,season
Mouth,February,2,2/15/18,8:22,8:38,5,0,8:40,0,0,0,0,1,0,1158.054991,Winter
Mouth,February,2,2/15/18,8:42,8:47,2,0,9:00,0,0,0,0,1,0,1679.957038,Winter
Mouth,March,3,3/6/18,8:10,8:14,1,0,8:20,6,0,2,8,0,3,407.3363233,Winter
Mouth,March,3,3/6/18,8:20,8:47,10,1,8:40,0,0,0,0,1,2,759.1889863,Winter
Mouth,March,3,3/27/18,8:35,8:42,3,0,8:40,0,0,0,0,1,2,,Spring
Mouth,March,3,3/27/18,8:49,9:07,5,0,9:00,0,0,0,0,0,2,,Spring
Mouth,March,3,3/27/18,9:10,9:24,3,0,9:20,0,0,0,0,1,2,,Spring
Mouth,April,4,4/19/18,8:45,8:54,6,1,9:00,0,0,0,0,1,0,1511.63687,Spring
Mouth,April,4,4/26/18,14:19,14:45,10,2,14:20,0,0,0,0,1,2,533.0080643,Spring
Mouth,May,5,5/8/18,14:28,14:43,9,2,14:40,0,0,0,0,1,2,385.0187968,Spring
Mouth,May,5,5/17/18,8:22,8:30,1,0,8:20,0,0,0,0,0,2,1542.166969,Spring
Mouth,June,6,6/7/18,13:43,13:48,7,0,13:40,0,0,0,0,1,3,1439.478715,Spring
Mouth,June,6,6/7/18,13:55,14:06,8,1,14:00,0,0,0,0,1,0,1000.765306,Spring
Mouth,June,6,6/7/18,14:19,14:24,1,0,14:20,0,0,0,0,1,2,108.2045441,Spring
Mouth,June,6,6/21/18,10:29,10:35,2,0,10:40,0,0,0,0,1,2,649.8648817,Summer
Mouth,June,6,6/21/18,10:59,11:15,3,1,11:00,0,0,0,0,1,0,684.637879,Summer
Mouth,August,8,8/21/18,8:21,8:29,1,0,8:20,0,0,0,0,1,2,485.8316267,Summer
Mouth,August,8,8/21/18,8:33,8:44,2,1,8:40,0,0,0,0,1,2,1249.416168,Summer
Mouth,August,8,8/21/18,8:58,9:15,2,0,9:00,0,0,0,0,1,0,387.0548674,Summer
Mouth,September,9,9/26/18,14:20,14:37,25,4,14:20,0,0,0,0,1,0,442.9445001,Fall
