site,month,date,time_start,time_end,time,dolphins_best,adults_best,calves_best,every20mins,echo,bp,whistle,total,noise,season,perch,toadfish,strout,rdrum
Aquarium,June,6/7/18,12:38,13:28,0:50,0,0,0,13:00,0,0,0,0,1,Spring,0,0,0,0
Ashley1,June,6/7/18,15:04,15:09,0:05,4,2,2,15:00,0,0,0,0,1,Spring,0,0,0,0
Ashley2,June,6/7/18,15:33,16:23,0:50,0,0,0,16:00,0,0,0,0,1,Spring,0,2,0,0
Confluence,June,6/7/18,12:09,12:18,0:09,6,5,1,12:20,18,0,1,19,1,Spring,0,0,0,0
Confluence,June,6/7/18,11:47,11:53,0:06,2,2,0,12:00,0,0,0,0,1,Spring,0,0,0,0
Mouth,June,6/7/18,13:43,13:48,0:05,7,7,0,13:40,0,0,0,0,1,Spring,0,0,1,0
Mouth,June,6/7/18,14:19,14:24,0:05,1,1,0,14:20,0,0,0,0,1,Spring,0,2,0,0
Mouth,June,6/7/18,13:55,14:06,0:11,8,7,1,14:00,0,0,0,0,1,Spring,0,0,0,0
Terminal,June,6/7/18,11:02,11:12,0:10,3,2,1,11:00,0,0,0,0,1,Spring,0,2,0,0
Aquarium,March,3/21/19,10:20,10:28,0:08,2,1,1,10:20,0,0,0,0,1,Spring,0,0,0,0
Ashley1,March,3/21/19,12:30,13:20,0:50,0,0,0,13:00,0,0,0,0,1,Spring,0,0,0,0
Ashley2,March,3/21/19,13:22,13:35,0:13,2,2,0,13:20,0,0,0,0,0,Spring,0,0,0,0
Ashley2,March,3/21/19,14:04,,,2,2,0,14:00,1,0,0,1,0,Spring,0,0,0,0
Confluence,March,3/21/19,9:53,10:01,0:08,2,1,1,10:00,13,0,0,13,1,Spring,0,2,0,0
Mouth,March,3/21/19,11:30,11:35,0:05,1,1,0,11:40,0,0,0,0,1,Spring,0,2,0,0
Mouth,March,3/21/19,12:02,12:10,0:08,3,2,1,12:00,21,0,0,21,1,Spring,0,0,0,0
Terminal,March,3/21/19,8:24,8:28,0:04,1,1,0,8:20,0,0,0,0,0,Spring,0,2,0,0
Terminal,March,3/21/19,8:33,8:46,0:13,3,2,1,8:40,2,5,0,7,1,Spring,0,2,0,0
Terminal,March,3/21/19,9:07,,,1,1,0,9:00,0,0,2,2,0,Spring,0,0,0,0
Aquarium,April,4/4/19,13:51,14:04,0:13,2,1,1,14:00,0,0,0,0,1,Spring,0,2,0,0
Aquarium,April,4/4/19,14:29,14:41,0:12,1,1,0,14:40,0,0,0,0,1,Spring,0,0,0,0
Ashley1,April,4/4/19,10:25,10:38,0:13,3,3,0,10:40,0,0,0,0,0,Spring,0,2,0,0
Ashley1,April,4/4/19,10:48,10:56,0:08,3,3,0,10:40,0,0,0,0,1,Spring,0,2,0,0
Ashley1,April,4/4/19,11:02,11:10,0:08,2,1,1,11:00,0,0,0,0,0,Spring,0,0,0,0
Ashley2,April,4/4/19,9:43,10:07,0:24,4,4,0,10:00,0,0,0,0,0,Spring,0,0,0,0
Confluence,April,4/4/19,12:57,13:21,0:24,4,4,0,13:20,0,0,0,0,1,Spring,0,0,2,0
Confluence,April,4/4/19,13:30,13:33,0:03,2,2,0,13:40,0,0,8,8,1,Spring,0,0,0,0
Mouth,April,4/4/19,8:42,8:49,0:07,1,1,0,8:40,0,0,0,0,1,Spring,2,3,0,0
Mouth,April,4/4/19,8:14,8:32,0:18,2,1,1,8:20,0,0,0,0,1,Spring,0,0,0,0
Mouth,April,4/4/19,8:55,9:03,0:08,2,2,0,9:00,0,0,0,0,0,Spring,0,0,0,0
Terminal,April,4/4/19,12:21,12:30,0:09,4,3,1,12:20,0,0,0,0,1,Spring,0,0,0,0
Terminal,April,4/4/19,12:34,12:45,0:11,1,1,0,12:40,0,0,3,3,1,Spring,0,3,0,0
Terminal,April,4/4/19,12:09,12:12,0:03,1,1,0,12:20,0,0,0,0,1,Spring,0,0,0,0
Aquarium,April,4/16/19,10:24,10:45,0:21,5,4,1,10:40,0,0,0,0,1,Spring,0,0,0,0
Aquarium,April,4/16/19,10:50,11:04,0:14,5,3,2,11:00,0,0,0,0,0,Spring,0,0,0,0
Ashley1,April,4/16/19,13:14,13:17,0:03,2,2,0,13:20,0,0,0,0,1,Spring,0,2,0,0
Ashley1,April,4/16/19,13:32,13:36,0:04,1,1,0,13:40,0,0,0,0,0,Spring,0,2,0,0
Ashley2,April,4/16/19,11:48,11:53,0:05,2,2,0,12:00,0,0,0,0,1,Spring,0,0,0,0
Confluence,April,4/16/19,9:25,9:33,0:08,1,1,0,9:20,1,0,0,1,1,Spring,2,3,0,0
Confluence,April,4/16/19,9:36,9:57,0:21,6,5,1,10:00,0,0,0,0,0,Spring,0,0,0,0
Mouth,April,4/16/19,14:25,14:55,0:30,13,12,1,14:40,0,0,1,1,0,Spring,3,2,2,0
Terminal,April,4/16/19,8:32,8:55,0:23,3,3,0,8:40,2,0,0,2,1,Spring,2,2,0,0
Terminal,April,4/16/19,8:59,9:12,0:13,3,2,1,9:00,0,0,0,0,0,Spring,0,2,0,0
Aquarium,May,5/9/19,10:17,10:30,0:13,1,1,0,10:20,0,0,0,0,1,Spring,0,2,0,0
Aquarium,May,5/9/19,9:38,9:41,0:03,2,1,1,9:40,0,0,0,0,1,Spring,0,0,0,0
Ashley1,May,5/9/19,14:17,,,5,4,1,14:20,0,0,0,0,1,Spring,0,2,2,0
Ashley1,May,5/9/19,14:53,15:03,0:10,2,2,0,15:00,0,0,0,0,0,Spring,0,0,2,0
Ashley2,May,5/9/19,13:20,14:10,0:50,0,0,0,14:00,0,2,0,2,0,Spring,0,0,0,0
Confluence,May,5/9/19,10:34,11:24,0:50,0,0,0,11:00,0,0,0,0,0,Spring,0,3,0,0
Mouth,May,5/9/19,8:32,8:45,0:13,3,2,1,8:40,0,0,0,0,1,Spring,0,3,0,0
Mouth,May,5/9/19,9:03,9:14,0:11,5,4,1,9:00,0,0,0,0,0,Spring,0,2,0,0
Terminal,May,5/9/19,11:27,12:17,0:50,0,0,0,12:00,0,0,0,0,0,Spring,0,2,0,0
Aquarium,May,5/23/19,11:17,12:07,0:50,0,0,0,12:00,0,0,0,0,0,Spring,0,0,0,0
Ashley1,May,5/23/19,13:47,13:59,0:12,2,1,1,14:00,0,0,0,0,1,Spring,0,2,0,0
Ashley1,May,5/23/19,14:17,14:32,0:15,6,5,1,14:20,7,0,0,7,1,Spring,0,0,0,0
Ashley2,May,5/23/19,12:27,13:17,0:50,0,0,0,13:00,1,0,0,1,0,Spring,0,0,0,0
Confluence,May,5/23/19,10:38,10:59,0:21,4,3,1,11:00,0,0,0,0,0,Spring,0,2,0,0
Mouth,May,5/23/19,8:30,8:43,0:13,1,1,0,8:40,0,0,0,0,1,Spring,0,3,1,0
Terminal,May,5/23/19,9:27,10:17,0:50,0,0,0,10:00,0,0,0,0,1,Spring,0,2,0,0
Aquarium,June,6/21/18,12:18,12:20,0:02,2,2,0,12:20,15,5,0,20,1,Summer,0,0,2,0
Aquarium,June,6/21/18,11:41,11:55,0:14,7,6,1,11:40,22,1,0,23,1,Summer,0,0,0,0
Aquarium,June,6/21/18,12:11,12:14,0:03,1,1,0,12:00,0,0,0,0,1,Summer,0,0,0,0
Ashley1,June,6/21/18,15:46,16:36,0:50,0,0,0,16:00,0,0,0,0,1,Summer,0,0,0,0
Ashley2,June,6/21/18,15:10,15:21,0:11,5,4,1,15:20,0,0,0,0,1,Summer,0,0,0,0
Confluence,June,6/21/18,13:19,13:22,0:03,4,2,2,13:20,0,0,0,0,1,Summer,0,2,0,0
Confluence,June,6/21/18,13:06,13:11,0:05,1,1,0,13:00,0,0,0,0,1,Summer,0,0,0,0
Mouth,June,6/21/18,10:29,10:35,0:06,2,2,0,10:40,0,0,0,0,1,Summer,0,0,0,0
